Order Date Time,Board Type,Quantity,Pick Pack Time,,,,
01/07/2022 07:51:52,C,3,4.27,,,,
01/07/2022 07:52:07,C,3,4.87,,,,
01/07/2022 07:54:41,B,2,4.33,,,,
01/07/2022 08:03:33,C,5,5.43,,,,
01/07/2022 08:03:55,C,3,4.44,,,,
01/07/2022 08:08:54,C,4,5,,,,
01/07/2022 08:12:13,C,2,3.68,,,,
01/07/2022 08:19:38,B,2,3.69,,,,
01/07/2022 08:34:57,C,6,5.95,,,,
01/07/2022 08:38:02,C,3,4.46,,,,
01/07/2022 08:40:09,C,5,5.14,,,,
01/07/2022 08:44:52,A,2,3.8,,,,
01/07/2022 09:01:17,C,4,4.83,,,,
01/07/2022 09:06:00,B,4,4.96,,,,
01/07/2022 09:16:38,C,2,4.11,,,,
01/07/2022 09:20:49,B,9,7.49,,,,
01/07/2022 09:27:00,A,6,5.55,,,,
01/07/2022 09:37:33,B,7,6.09,,,,
01/07/2022 09:47:25,C,3,4.4,,,,
01/07/2022 09:58:26,C,3,4.62,,,,
01/07/2022 10:11:51,C,1,3.73,,,,
01/07/2022 10:33:20,A,3,4.45,,,,
01/07/2022 10:37:47,A,8,7.58,,,,
01/07/2022 10:46:56,C,2,3.73,,,,
01/07/2022 10:57:01,B,4,4.92,,,,
01/07/2022 10:58:21,C,4,5.38,,,,
01/07/2022 11:04:30,A,8,7.11,,,,
01/07/2022 11:06:59,C,5,5.66,,,,
01/07/2022 11:23:50,C,4,5.13,,,,
01/07/2022 11:27:56,B,8,6.85,,,,
01/07/2022 11:28:31,B,2,3.83,,,,
01/07/2022 11:31:49,C,1,3.23,,,,
01/07/2022 11:33:17,B,5,5.77,,,,
01/07/2022 12:12:42,B,5,5.64,,,,
01/07/2022 12:16:11,B,4,4.75,,,,
01/07/2022 12:16:34,C,3,4.66,,,,
01/07/2022 12:28:19,C,5,5.86,,,,
01/07/2022 12:29:28,B,5,4.98,,,,
01/07/2022 12:36:16,A,7,6.81,,,,
01/07/2022 12:37:35,A,7,6.87,,,,
01/07/2022 12:37:45,C,3,4.58,,,,
01/07/2022 12:40:51,C,2,3.74,,,,
01/07/2022 12:42:40,A,3,4.7,,,,
01/07/2022 12:46:25,B,1,3.65,,,,
01/07/2022 12:57:55,C,4,4.78,,,,
01/07/2022 12:59:37,C,4,5.15,,,,
01/07/2022 13:04:22,B,7,6.06,,,,
01/07/2022 13:26:33,B,4,4.71,,,,
01/07/2022 13:30:06,B,2,3.88,,,,
01/07/2022 13:40:57,C,3,4.24,,,,
01/07/2022 13:44:24,C,3,4.32,,,,
01/07/2022 13:44:37,A,9,7.24,,,,
01/07/2022 13:47:54,C,4,4.85,,,,
01/07/2022 13:48:51,C,4,5.25,,,,
01/07/2022 13:52:42,A,2,3.82,,,,
01/07/2022 13:52:57,C,1,3.32,,,,
01/07/2022 13:56:30,C,3,4.23,,,,
01/07/2022 13:57:48,C,2,4.37,,,,
01/07/2022 14:07:11,B,2,3.92,,,,
01/07/2022 14:23:03,B,9,8.04,,,,
01/07/2022 14:23:09,A,2,4.35,,,,
01/07/2022 14:25:09,B,10,7.28,,,,
01/07/2022 14:29:17,B,4,4.52,,,,
01/07/2022 14:30:28,C,3,4.63,,,,
01/07/2022 14:40:13,A,3,4.32,,,,
01/07/2022 14:52:58,C,2,3.76,,,,
01/07/2022 14:56:31,C,1,3.54,,,,
01/07/2022 15:06:05,B,2,3.64,,,,
01/07/2022 15:12:23,C,4,4.88,,,,
01/07/2022 15:17:22,C,5,5.44,,,,
01/07/2022 15:23:34,C,2,3.74,,,,
01/07/2022 15:25:49,A,9,7.11,,,,
01/07/2022 15:26:14,C,5,5.21,,,,
01/07/2022 15:31:12,B,9,7.24,,,,
01/07/2022 15:31:43,B,5,4.98,,,,
01/07/2022 15:39:16,C,6,5.97,,,,
01/07/2022 15:55:04,A,7,6.72,,,,
01/07/2022 15:56:32,B,2,3.82,,,,
01/07/2022 16:00:37,C,5,5.29,,,,
01/07/2022 16:00:43,B,5,5.7,,,,
01/07/2022 16:07:47,C,4,5.33,,,,
01/07/2022 16:18:33,B,5,5.26,,,,
01/07/2022 16:18:52,C,4,4.56,,,,
01/07/2022 16:26:10,B,2,3.71,,,,
01/07/2022 16:27:30,C,5,5.54,,,,
01/07/2022 16:42:59,C,6,6.47,,,,
01/07/2022 17:05:46,A,3,4.8,,,,
01/07/2022 17:07:39,C,5,5.74,,,,
01/07/2022 17:11:45,A,7,6.35,,,,
01/07/2022 17:12:54,C,4,4.74,,,,
01/07/2022 17:18:39,B,2,3.61,,,,
01/07/2022 17:27:26,B,11,7.82,,,,
01/07/2022 17:42:45,C,4,4.99,,,,
01/07/2022 17:56:53,C,3,4.55,,,,
01/07/2022 18:06:56,B,1,3.46,,,,
01/07/2022 18:09:32,A,9,7.54,,,,
01/07/2022 18:17:18,C,4,5.48,,,,
01/07/2022 18:24:19,B,8,7.64,,,,
01/07/2022 18:31:48,A,12,9.29,,,,
01/07/2022 18:41:57,A,8,6.4,,,,
01/07/2022 18:44:19,C,7,6.98,,,,
01/07/2022 18:57:45,B,6,5.89,,,,
01/07/2022 18:58:03,A,5,5.32,,,,
01/07/2022 19:09:57,A,5,4.96,,,,
01/07/2022 19:13:27,C,3,4.38,,,,
01/07/2022 19:24:57,B,3,4.48,,,,
01/07/2022 19:30:15,B,2,3.83,,,,
01/07/2022 19:30:33,C,4,5.48,,,,
01/07/2022 19:31:04,B,4,4.55,,,,
01/07/2022 19:33:26,C,3,4.29,,,,
01/07/2022 19:36:43,B,7,6.72,,,,
01/07/2022 19:46:04,C,4,4.79,,,,
01/07/2022 19:48:32,A,5,5.69,,,,
01/07/2022 19:58:24,B,6,6.31,,,,
01/07/2022 20:10:15,C,4,4.65,,,,
01/07/2022 20:10:15,C,3,4.51,,,,
01/07/2022 20:13:41,C,6,6.26,,,,
01/07/2022 20:20:05,A,12,8.3,,,,
01/07/2022 20:21:33,B,6,5.93,,,,
01/07/2022 20:31:52,C,7,6.47,,,,
01/07/2022 20:35:55,B,4,5,,,,
01/07/2022 20:36:01,B,3,4.18,,,,
01/07/2022 20:36:59,C,2,3.78,,,,
01/07/2022 20:37:10,C,3,4.12,,,,
01/07/2022 21:05:49,A,11,9.13,,,,
01/07/2022 21:09:55,C,4,4.85,,,,
01/07/2022 21:13:03,C,4,4.89,,,,
01/07/2022 21:14:45,C,2,4.32,,,,
01/07/2022 21:16:25,B,5,5.33,,,,
01/07/2022 21:17:29,C,6,6.01,,,,
01/07/2022 21:19:21,C,3,4.68,,,,
01/07/2022 21:22:48,C,3,4.36,,,,
01/07/2022 21:29:35,A,4,5.04,,,,
01/07/2022 21:29:52,C,6,6.58,,,,
01/07/2022 21:34:21,C,3,4.24,,,,
01/07/2022 21:53:23,C,3,4.06,,,,
01/07/2022 22:10:25,B,1,3.3,,,,
01/07/2022 22:24:06,B,8,6.56,,,,
01/07/2022 22:29:36,B,2,4.09,,,,
01/07/2022 22:29:54,C,4,5.44,,,,
01/07/2022 22:31:47,B,1,3.81,,,,
01/07/2022 22:34:51,B,1,3.24,,,,
01/07/2022 22:47:27,C,5,5.06,,,,
01/07/2022 22:47:29,A,2,4.25,,,,
01/07/2022 22:53:12,C,2,3.77,,,,
01/07/2022 23:03:13,B,1,3.31,,,,
01/07/2022 23:03:58,B,7,6.45,,,,
01/07/2022 23:07:58,C,4,5.34,,,,
01/07/2022 23:10:57,C,2,3.79,,,,
01/07/2022 23:15:52,B,9,8,,,,
01/07/2022 23:21:12,C,4,5.04,,,,
01/07/2022 23:39:22,C,5,5.24,,,,
01/07/2022 23:42:25,A,11,8.36,,,,
01/07/2022 23:49:21,C,2,4.26,,,,
01/07/2022 23:51:07,B,11,8.62,,,,
01/07/2022 23:55:20,C,3,4.12,,,,
01/07/2022 23:57:40,A,5,5.25,,,,
01/07/2022 23:57:44,B,3,4.06,,,,
02/07/2022 00:00:58,C,3,4.35,,,,
02/07/2022 00:05:58,C,1,3.57,,,,
02/07/2022 00:06:55,C,2,4.29,,,,
02/07/2022 00:08:12,B,4,4.57,,,,
02/07/2022 00:21:22,B,3,4.74,,,,
02/07/2022 00:35:49,C,5,5.03,,,,
02/07/2022 00:58:05,C,4,4.79,,,,
02/07/2022 01:01:12,A,6,6.33,,,,
02/07/2022 01:12:13,B,9,7.75,,,,
02/07/2022 01:12:46,C,5,5.43,,,,
02/07/2022 01:15:44,B,1,3.85,,,,
02/07/2022 01:21:36,C,5,5.86,,,,
02/07/2022 01:24:11,C,5,5.41,,,,
02/07/2022 01:31:31,C,4,5.37,,,,
02/07/2022 01:34:26,C,3,4.05,,,,
02/07/2022 01:35:01,B,9,8.01,,,,
02/07/2022 01:35:26,A,2,3.95,,,,
02/07/2022 01:37:55,C,4,4.54,,,,
02/07/2022 01:45:11,A,7,6.53,,,,
02/07/2022 01:55:52,C,3,4.85,,,,
02/07/2022 01:59:06,C,3,4.74,,,,
02/07/2022 01:59:18,C,3,4.26,,,,
02/07/2022 02:05:06,A,11,8.03,,,,
02/07/2022 02:11:33,C,5,5.85,,,,
02/07/2022 02:14:21,A,8,7.68,,,,
02/07/2022 02:18:29,B,5,4.96,,,,
02/07/2022 02:30:46,C,6,5.57,,,,
02/07/2022 02:39:43,B,9,7.38,,,,
02/07/2022 02:43:55,C,3,4.85,,,,
02/07/2022 02:49:18,C,2,3.85,,,,
02/07/2022 02:57:45,C,3,4.87,,,,
02/07/2022 03:03:48,B,11,9.11,,,,
02/07/2022 03:12:45,A,3,4.62,,,,
02/07/2022 03:20:08,A,7,6.13,,,,
02/07/2022 03:24:48,C,2,4.39,,,,
02/07/2022 03:26:12,C,4,5.43,,,,
02/07/2022 03:42:56,C,3,4.56,,,,
02/07/2022 03:43:02,C,5,5,,,,
02/07/2022 03:47:58,B,6,5.99,,,,
02/07/2022 03:48:54,C,3,4.4,,,,
02/07/2022 03:55:31,A,8,7.65,,,,
02/07/2022 03:56:12,C,2,4.31,,,,
02/07/2022 04:04:50,A,3,4.71,,,,
02/07/2022 04:22:28,A,9,7.41,,,,
02/07/2022 04:34:05,A,3,4.91,,,,
02/07/2022 04:41:46,A,9,8.23,,,,
02/07/2022 04:45:21,A,4,5.16,,,,
02/07/2022 04:53:30,A,5,5.82,,,,
02/07/2022 04:59:44,C,2,3.81,,,,
02/07/2022 05:07:54,B,4,5.05,,,,
02/07/2022 05:08:56,A,6,6.53,,,,
02/07/2022 05:15:34,C,5,5.05,,,,
02/07/2022 05:15:34,C,5,5.67,,,,
02/07/2022 05:15:34,C,7,6.05,,,,
02/07/2022 05:16:03,A,13,8.82,,,,
02/07/2022 05:16:37,A,5,5.95,,,,
02/07/2022 05:18:15,A,6,6.4,,,,
02/07/2022 05:22:11,C,5,5.54,,,,
02/07/2022 05:26:55,C,6,5.51,,,,
02/07/2022 05:32:25,C,6,6.24,,,,
02/07/2022 05:33:29,C,2,3.7,,,,
02/07/2022 05:45:03,C,3,4.31,,,,
02/07/2022 05:46:43,B,3,4.89,,,,
02/07/2022 05:46:57,B,9,7.26,,,,
02/07/2022 05:51:49,A,6,6.33,,,,
02/07/2022 05:52:17,A,4,5.37,,,,
02/07/2022 05:54:33,C,3,4.37,,,,
02/07/2022 06:00:08,C,1,3.66,,,,
02/07/2022 06:12:10,B,10,7.32,,,,
02/07/2022 06:20:09,B,3,4.36,,,,
02/07/2022 06:23:51,A,5,5.16,,,,
02/07/2022 06:27:36,A,7,6.99,,,,
02/07/2022 06:32:57,C,4,4.67,,,,
02/07/2022 06:37:22,B,4,5.49,,,,
02/07/2022 06:43:28,B,12,9.56,,,,
02/07/2022 07:03:39,C,3,4.44,,,,
02/07/2022 07:06:40,A,6,6.2,,,,
02/07/2022 07:11:34,C,5,5.27,,,,
02/07/2022 07:20:29,B,2,3.98,,,,
02/07/2022 07:25:37,A,11,8.44,,,,
02/07/2022 07:44:39,C,3,4.43,,,,
02/07/2022 07:49:22,C,6,6.24,,,,
02/07/2022 07:51:32,C,2,4.35,,,,
02/07/2022 08:03:10,A,4,4.56,,,,
02/07/2022 08:24:41,C,4,5.23,,,,
02/07/2022 08:45:17,A,10,8.01,,,,
02/07/2022 08:56:10,C,4,5.29,,,,
02/07/2022 09:01:12,C,2,3.8,,,,
02/07/2022 09:07:19,C,4,4.88,,,,
02/07/2022 09:16:58,A,7,6.63,,,,
02/07/2022 09:18:31,B,4,5.36,,,,
02/07/2022 09:28:13,B,1,3.29,,,,
02/07/2022 09:30:58,C,6,6.14,,,,
02/07/2022 09:35:00,B,4,5.44,,,,
02/07/2022 09:37:38,C,6,5.43,,,,
02/07/2022 09:41:43,C,4,4.96,,,,
02/07/2022 09:47:41,A,3,4.5,,,,
02/07/2022 09:50:03,C,4,5.13,,,,
02/07/2022 09:50:41,C,4,5.48,,,,
02/07/2022 09:56:53,A,8,6.39,,,,
02/07/2022 09:58:50,C,2,4.16,,,,
02/07/2022 10:11:55,C,3,4.34,,,,
02/07/2022 10:12:58,C,2,4.26,,,,
02/07/2022 10:21:17,C,2,3.93,,,,
02/07/2022 10:26:31,B,9,8.07,,,,
02/07/2022 10:32:41,C,4,5.19,,,,
02/07/2022 10:33:23,B,3,4.6,,,,
02/07/2022 10:39:36,A,3,4.89,,,,
02/07/2022 10:40:50,A,7,6.73,,,,
02/07/2022 10:48:37,C,3,4.81,,,,
02/07/2022 10:49:37,C,4,4.95,,,,
02/07/2022 10:51:26,A,3,4.73,,,,
02/07/2022 10:53:19,A,3,4.85,,,,
02/07/2022 10:54:39,A,1,3.72,,,,
02/07/2022 10:56:48,C,2,3.92,,,,
02/07/2022 10:59:53,A,5,5.07,,,,
02/07/2022 11:13:11,C,2,4.19,,,,
02/07/2022 11:16:12,B,7,6.69,,,,
02/07/2022 11:18:04,C,3,4.35,,,,
02/07/2022 11:20:13,C,5,5.84,,,,
02/07/2022 11:21:31,B,3,4.56,,,,
02/07/2022 11:24:19,B,8,6.99,,,,
02/07/2022 11:32:10,B,12,9.34,,,,
02/07/2022 11:51:49,C,3,4.6,,,,
02/07/2022 12:03:56,B,2,3.8,,,,
02/07/2022 12:05:45,A,3,4.74,,,,
02/07/2022 12:09:14,C,2,3.72,,,,
02/07/2022 12:11:03,A,2,4.1,,,,
02/07/2022 12:15:17,C,5,5.56,,,,
02/07/2022 12:27:31,A,10,8.43,,,,
02/07/2022 12:34:05,A,6,6.2,,,,
02/07/2022 12:39:00,C,3,4.67,,,,
02/07/2022 12:44:33,C,3,4.9,,,,
02/07/2022 12:51:03,B,6,6.49,,,,
02/07/2022 12:56:56,A,3,4.66,,,,
02/07/2022 12:58:07,C,4,5.02,,,,
02/07/2022 13:05:31,A,9,7.81,,,,
02/07/2022 13:20:29,C,3,4.58,,,,
02/07/2022 13:26:43,C,6,6.53,,,,
02/07/2022 13:28:55,A,7,5.9,,,,
02/07/2022 13:35:50,C,1,3.27,,,,
02/07/2022 13:38:06,A,10,8.5,,,,
02/07/2022 13:42:33,A,7,7.02,,,,
02/07/2022 13:48:13,C,3,4.88,,,,
02/07/2022 13:53:25,B,2,4.39,,,,
02/07/2022 14:11:48,C,3,4.47,,,,
02/07/2022 14:12:25,C,3,4.62,,,,
02/07/2022 14:16:36,B,9,8.19,,,,
02/07/2022 14:25:11,C,3,4.09,,,,
02/07/2022 14:32:15,A,10,8.76,,,,
02/07/2022 14:34:52,A,2,3.96,,,,
02/07/2022 14:39:00,C,4,5.33,,,,
02/07/2022 14:40:00,C,5,5.68,,,,
02/07/2022 14:48:14,A,13,9.32,,,,
02/07/2022 14:48:33,A,5,5.53,,,,
02/07/2022 14:52:58,B,1,3.29,,,,
02/07/2022 15:04:41,C,5,5.75,,,,
02/07/2022 15:04:56,C,4,5.39,,,,
02/07/2022 15:49:50,C,1,3.54,,,,
02/07/2022 15:51:53,A,4,5.08,,,,
02/07/2022 15:55:49,C,2,3.74,,,,
02/07/2022 16:02:36,B,4,4.99,,,,
02/07/2022 16:04:25,B,5,5.28,,,,
02/07/2022 16:05:02,B,3,4.89,,,,
02/07/2022 16:09:55,B,9,7.75,,,,
02/07/2022 16:11:28,B,9,6.83,,,,
02/07/2022 16:17:51,A,6,5.9,,,,
02/07/2022 16:23:12,B,4,4.6,,,,
02/07/2022 16:43:11,A,7,6.45,,,,
02/07/2022 16:57:27,A,9,7.76,,,,
02/07/2022 16:57:28,C,6,5.72,,,,
02/07/2022 17:04:26,A,8,7.27,,,,
02/07/2022 17:04:36,C,3,4.52,,,,
02/07/2022 17:10:33,C,3,4.78,,,,
02/07/2022 17:14:30,B,7,5.97,,,,
02/07/2022 17:23:00,C,4,5.48,,,,
02/07/2022 17:23:26,C,1,3.52,,,,
02/07/2022 17:30:36,A,4,5.35,,,,
02/07/2022 17:52:22,A,6,5.79,,,,
02/07/2022 17:55:42,A,4,4.6,,,,
02/07/2022 18:10:54,C,5,5.64,,,,
02/07/2022 18:14:38,C,1,3.19,,,,
02/07/2022 18:20:49,B,7,6,,,,
02/07/2022 18:28:40,C,7,7.13,,,,
02/07/2022 18:47:26,B,2,3.88,,,,
02/07/2022 18:52:19,A,1,3.5,,,,
02/07/2022 18:52:25,A,4,4.83,,,,
02/07/2022 18:58:13,B,4,4.84,,,,
02/07/2022 19:08:29,A,5,5.9,,,,
02/07/2022 19:10:23,C,3,4.33,,,,
02/07/2022 19:18:12,B,5,5.25,,,,
02/07/2022 19:23:31,C,4,5.29,,,,
02/07/2022 19:27:37,C,3,4.85,,,,
02/07/2022 19:31:09,A,2,4.25,,,,
02/07/2022 19:37:11,C,4,5.24,,,,
02/07/2022 19:37:51,C,3,4.38,,,,
02/07/2022 19:47:47,A,2,4.18,,,,
02/07/2022 20:01:42,B,5,5.42,,,,
02/07/2022 20:08:20,C,3,4.89,,,,
02/07/2022 20:20:27,B,1,3.82,,,,
02/07/2022 20:23:23,C,5,4.96,,,,
02/07/2022 20:23:37,B,5,5.71,,,,
02/07/2022 20:30:11,A,5,5.33,,,,
02/07/2022 20:30:55,C,3,4.2,,,,
02/07/2022 20:31:01,C,3,4.39,,,,
02/07/2022 20:35:05,C,4,5.3,,,,
02/07/2022 20:38:13,A,3,4.71,,,,
02/07/2022 20:43:43,C,3,4.23,,,,
02/07/2022 20:49:14,C,3,4.31,,,,
02/07/2022 20:49:51,C,2,4.04,,,,
02/07/2022 20:50:25,C,3,4.33,,,,
02/07/2022 20:57:49,C,2,3.92,,,,
02/07/2022 20:58:22,C,5,5.38,,,,
02/07/2022 20:58:57,A,11,8.32,,,,
02/07/2022 21:02:08,C,6,6.37,,,,
02/07/2022 21:02:18,C,3,4.33,,,,
02/07/2022 21:09:40,C,2,3.93,,,,
02/07/2022 21:14:21,A,7,6.84,,,,
02/07/2022 21:26:18,C,4,5.45,,,,
02/07/2022 21:30:04,A,3,4.8,,,,
02/07/2022 21:31:13,C,5,4.97,,,,
02/07/2022 21:31:40,C,2,3.93,,,,
02/07/2022 22:00:31,A,9,7.22,,,,
02/07/2022 22:00:59,C,3,4.87,,,,
02/07/2022 22:02:05,B,2,4,,,,
02/07/2022 22:06:33,C,4,4.62,,,,
02/07/2022 22:09:21,B,2,3.62,,,,
02/07/2022 22:09:22,C,3,4.43,,,,
02/07/2022 22:12:22,B,5,4.99,,,,
02/07/2022 22:12:49,A,5,5.42,,,,
02/07/2022 22:16:31,C,3,4.74,,,,
02/07/2022 22:16:48,A,3,4.62,,,,
02/07/2022 22:22:06,C,2,3.78,,,,
02/07/2022 22:27:37,A,3,4.59,,,,
02/07/2022 22:28:12,C,3,4.91,,,,
02/07/2022 22:28:14,C,6,5.43,,,,
02/07/2022 22:33:48,C,6,6.21,,,,
02/07/2022 22:43:12,A,4,5.04,,,,
02/07/2022 22:45:40,B,4,5.08,,,,
02/07/2022 23:07:22,C,4,5.38,,,,
02/07/2022 23:13:48,B,5,5.1,,,,
02/07/2022 23:16:49,C,3,4.49,,,,
02/07/2022 23:21:38,C,2,3.68,,,,
02/07/2022 23:24:31,B,5,5.27,,,,
02/07/2022 23:37:39,B,7,6.01,,,,
02/07/2022 23:38:37,B,1,3.16,,,,
02/07/2022 23:41:32,C,2,3.61,,,,
02/07/2022 23:44:07,C,7,7.08,,,,
02/07/2022 23:50:24,A,5,5.53,,,,
02/07/2022 23:52:54,A,7,6.37,,,,
02/07/2022 23:58:16,A,7,6.71,,,,
03/07/2022 00:03:07,B,3,4.66,,,,
03/07/2022 00:10:29,C,2,4.12,,,,
03/07/2022 00:11:13,A,5,5.65,,,,
03/07/2022 00:12:47,B,1,3.53,,,,
03/07/2022 00:15:42,C,2,4.26,,,,
03/07/2022 00:18:36,C,3,4.8,,,,
03/07/2022 00:20:56,A,6,5.45,,,,
03/07/2022 00:29:49,B,5,5.7,,,,
03/07/2022 00:46:16,B,2,4.35,,,,
03/07/2022 00:53:18,B,6,6.25,,,,
03/07/2022 00:56:46,B,9,7.44,,,,
03/07/2022 00:59:58,C,2,3.75,,,,
03/07/2022 01:03:14,C,5,5.87,,,,
03/07/2022 01:16:31,C,1,3.24,,,,
03/07/2022 01:26:43,A,7,6.98,,,,
03/07/2022 01:31:48,A,2,4.39,,,,
03/07/2022 01:35:28,B,2,4.12,,,,
03/07/2022 01:36:01,C,2,4.08,,,,
03/07/2022 01:40:29,A,1,3.66,,,,
03/07/2022 01:42:20,B,3,4.32,,,,
03/07/2022 01:56:44,B,4,4.84,,,,
03/07/2022 02:08:18,B,3,4.68,,,,
03/07/2022 02:08:26,A,8,7.03,,,,
03/07/2022 02:09:03,C,3,4.41,,,,
03/07/2022 02:12:03,A,5,5.44,,,,
03/07/2022 02:13:41,B,7,6.91,,,,
03/07/2022 02:23:44,C,3,4.46,,,,
03/07/2022 02:33:02,B,4,4.94,,,,
03/07/2022 02:37:56,C,4,5.5,,,,
03/07/2022 02:41:19,A,4,5.29,,,,
03/07/2022 02:49:42,C,4,4.96,,,,
03/07/2022 02:51:05,A,5,5.21,,,,
03/07/2022 03:05:47,A,4,4.99,,,,
03/07/2022 03:07:03,C,3,4.73,,,,
03/07/2022 03:16:48,C,1,3.83,,,,
03/07/2022 03:17:52,B,7,6.97,,,,
03/07/2022 03:19:28,C,3,4.78,,,,
03/07/2022 03:21:49,C,3,4.82,,,,
03/07/2022 03:24:42,A,5,5.92,,,,
03/07/2022 03:37:35,B,7,6.31,,,,
03/07/2022 03:52:01,B,5,5.68,,,,
03/07/2022 03:52:51,B,7,6.96,,,,
03/07/2022 04:00:27,C,1,3.15,,,,
03/07/2022 04:05:41,B,3,4.13,,,,
03/07/2022 04:06:53,B,3,4.92,,,,
03/07/2022 04:11:11,B,2,3.99,,,,
03/07/2022 04:14:18,A,11,9.19,,,,
03/07/2022 04:24:42,B,2,3.71,,,,
03/07/2022 04:36:19,C,1,3.3,,,,
03/07/2022 04:42:33,C,4,5.29,,,,
03/07/2022 04:43:29,A,3,4.12,,,,
03/07/2022 04:44:40,C,2,3.69,,,,
03/07/2022 04:47:33,B,2,3.99,,,,
03/07/2022 04:48:11,C,2,3.87,,,,
03/07/2022 05:01:04,C,3,4.25,,,,
03/07/2022 05:05:18,B,4,4.74,,,,
03/07/2022 05:08:40,C,3,4.4,,,,
03/07/2022 05:09:04,C,3,4.86,,,,
03/07/2022 05:17:52,C,2,4.26,,,,
03/07/2022 05:21:25,B,1,3.48,,,,
03/07/2022 05:25:54,B,10,7.51,,,,
03/07/2022 05:28:47,C,7,6.71,,,,
03/07/2022 05:29:09,B,8,6.64,,,,
03/07/2022 05:30:02,A,10,7.68,,,,
03/07/2022 05:30:40,C,1,3.29,,,,
03/07/2022 05:39:07,B,11,9.12,,,,
03/07/2022 05:39:30,C,3,4.91,,,,
03/07/2022 05:48:36,B,5,5.52,,,,
03/07/2022 05:52:38,A,6,5.92,,,,
03/07/2022 05:53:51,C,3,4.77,,,,
03/07/2022 05:56:32,B,2,4.08,,,,
03/07/2022 06:10:39,B,10,7.98,,,,
03/07/2022 06:20:22,C,5,5.82,,,,
03/07/2022 06:23:09,C,6,5.57,,,,
03/07/2022 06:25:30,B,4,5.15,,,,
03/07/2022 06:33:18,C,6,6.12,,,,
